iter	Passed	Remaining
725	46288	113108
726	46341	113016
727	46384	112903
728	46435	112809
729	46507	112764
730	46572	112704
731	46617	112596
732	46664	112490
733	46728	112429
734	46795	112371
735	46850	112288
736	46912	112221
737	46973	112150
738	47040	112095
739	47101	112026
740	47158	111945
741	47221	111879
742	47278	111800
743	47329	111706
744	47394	111646
745	47451	111569
746	47502	111476
747	47565	111410
748	47622	111331
749	47683	111262
750	47749	111202
751	47800	111109
752	47845	111004
753	47903	110928
754	47961	110850
755	48020	110778
756	48087	110722
757	48137	110627
758	48204	110571
759	48264	110499
760	48324	110429
761	48379	110345
762	48445	110288
763	48494	110192
764	48541	110091
765	48597	110009
766	48648	109918
767	48709	109849
768	48771	109782
769	48822	109693
770	48881	109618
771	48931	109524
772	48991	109454
773	49059	109400
774	49128	109350
775	49181	109264
776	49227	109161
777	49293	109103
778	49361	109052
779	49414	108965
780	49472	108889
781	49537	108830
782	49586	108736
783	49642	108657
784	49702	108584
785	49763	108517
786	49824	108449
787	49884	108378
788	49952	108326
789	50023	108278
790	50075	108190
791	50143	108138
792	50207	108075
793	50271	108014
794	50323	107926
795	50382	107854
796	50444	107787
797	50498	107704
798	50568	107655
799	50623	107574
800	50689	107517
801	50744	107435
802	50822	107403
803	50895	107360
804	50960	107302
805	51021	107234
806	51086	107173
807	51149	107109
808	51199	107019
809	51260	106951
810	51325	106892
811	51388	106826
812	51440	106740
813	51515	106700
814	51572	106626
815	51646	106583
816	51721	106545
817	51796	106505
818	51851	106426
819	51906	106345
820	51972	106288
821	52026	106205
822	52089	106140
823	52158	106088
824	52223	106029
825	52287	105967
826	52358	105919
827	52418	105849
828	52470	105763
829	52532	105697
830	52608	105661
831	52670	105594
832	52737	105538
833	52792	105459
834	52860	105404
835	52920	105335
836	52979	105262
837	53035	105185
838	53085	105094
839	53151	105036
840	53214	104973
841	53266	104887
842	53348	104862
843	53406	104787
844	53463	104711
845	53517	104631
846	53564	104536
847	53629	104475
848	53669	104366
849	53712	104265
850	53764	104180
851	53807	104078
852	53867	104009
853	53927	103939
854	54000	103895
855	54060	103827
856	54129	103775
857	54178	103684
858	54236	103611
859	54299	103548
860	54356	103473
861	54423	103417
862	54484	103350
863	54549	103290
864	54618	103238
865	54682	103176
866	54734	103092
867	54793	103021
868	54854	102955
869	54912	102881
870	54973	102815
871	55024	102729
872	55072	102638
873	55126	102558
874	55176	102470
875	55235	102400
876	55296	102332
877	55349	102250
878	55404	102173
879	55453	102083
880	55516	102021
881	55569	101939
882	55635	101882
883	55682	101789
884	55753	101741
885	55816	101678
886	55870	101600
887	55927	101526
888	55987	101458
889	56044	101383
890	56087	101285
891	56147	101216
892	56208	101149
893	56266	101078
894	56337	101029
895	56398	100964
896	56466	100909
897	56525	100839
898	56583	100768
899	56631	100678
900	56694	100614
901	56766	100569
902	56833	100512
903	56876	100415
904	56938	100350
905	57000	100284
906	57062	100220
907	57123	100154
908	57189	100097
909	57251	100032
910	57316	99973
911	57393	99934
912	57471	99897
913	57537	99840
914	57602	99781
915	57672	99730
916	57733	99664
917	57803	99613
918	57865	99549
919	57931	99491
920	57985	99412
921	58045	99344
922	58093	99255
923	58161	99201
924	58210	99115
925	58261	99031
926	58316	98956
927	58383	98900
928	58437	98821
929	58492	98745
930	58559	98689
931	58623	98628
932	58687	98567
933	58755	98512
934	58809	98434
935	58875	98377
936	58933	98306
937	58997	98245
938	59069	98197
939	59138	98145
940	59205	98088
941	59252	97999
942	59325	97953
943	59370	97860
944	59416	97770
945	59465	97684
946	59509	97591
947	59568	97521
948	59625	97448
949	59691	97390
950	59740	97306
951	59807	97249
952	59863	97175
953	59925	97111
954	59970	97020
955	60041	96970
